Bird identity,"Sex 1=male, 0=female",Ageclass,BodyMass g,RightTarsus length,MalariaConsensus 1=yes,year sampled,year,wet/dry season
1533,1,A,16.2,26.8,1,2003-08-18T00:00:00Z,2003,SE monsoon
1491,0,A,15.3,24.4,0,2003-08-19T00:00:00Z,2003,SE monsoon
1503,0,A,15.4,25.0,0,2003-08-27T00:00:00Z,2003,SE monsoon
1501,0,A,14.6,24.4,1,2003-12-14T00:00:00Z,2003,NW monsoon
1356,1,A,17.2,26.5,0,2003-12-20T00:00:00Z,2003,NW monsoon
1509,1,A,17.0,26.0,1,2003-12-22T00:00:00Z,2003,NW monsoon
1550,0,A,14.1,24.3,0,2003-12-22T00:00:00Z,2003,NW monsoon
1401,0,A,15.0,24.2,1,2003-12-23T00:00:00Z,2003,NW monsoon
1381,1,A,14.5,24.5,1,2003-12-27T00:00:00Z,2003,NW monsoon
1358,1,A,17.6,27.4,1,2004-01-03T00:00:00Z,2004,SE monsoon
1485,1,A,17.1,26.8,0,2004-06-08T00:00:00Z,2004,SE monsoon
1532,0,A,14.4,24.0,0,2004-06-08T00:00:00Z,2004,SE monsoon
1368,1,A,15.8,25.9,0,2004-06-11T00:00:00Z,2004,SE monsoon
1244,0,S,15.0,22.0,0,2004-06-30T00:00:00Z,2004,SE monsoon
1346,0,A,15.1,24.7,0,2004-07-05T00:00:00Z,2004,SE monsoon
1275,0,A,15.6,24.5,1,2004-07-06T00:00:00Z,2004,SE monsoon
1415,0,A,15.9,23.8,0,2004-07-26T00:00:00Z,2004,SE monsoon
1361,0,A,16.4,24.0,0,2004-07-31T00:00:00Z,2004,SE monsoon
1570,1,A,16.9,26.0,0,2004-07-31T00:00:00Z,2004,SE monsoon
1501,0,A,14.9,24.6,0,2004-08-05T00:00:00Z,2004,SE monsoon
1559,0,A,15.4,23.5,1,2004-08-09T00:00:00Z,2004,SE monsoon
1541,0,A,16.2,24.2,1,2004-08-12T00:00:00Z,2004,SE monsoon
